order_id,order_time,delivery_time,origin_hub,destination_lat,destination_lon,distance_km,parcel_weight_kg,vehicle_id,delivery_status,order_date,vehicle_id_telemetry,traffic_index,inventory_units,is_cancelled,order_hour
ORD100000,2025-01-05 06:00:00,2025-01-05 07:42:51.221576973,hub_2,0.23743221432980732,0.18586461872109794,-0.7343507422305605,-0.5291362487149887,V086,late,2025-01-05,V086,-0.022191299531214508,9709.0,False,6
ORD100001,2025-01-08 11:00:00,2025-01-08 14:03:05.412357946,hub_3,0.5391932724263739,0.6451028926427966,-0.7454205699132782,-1.0961581190237863,V022,on-time,2025-01-08,V022,1.7200872540310397,1641.0,False,11
ORD100002,2025-01-04 20:00:00,2025-01-04 22:27:15.351015952,hub_1,0.29868906334041156,0.8638832450193377,0.4479824776659687,0.07173087248269217,V008,on-time,2025-01-04,V008,-0.9519132130910147,4321.0,False,20
ORD100003,2025-01-01 14:00:00,2025-01-01 16:56:43.093235547,hub_2,0.8514220778210557,0.22780763001492232,-0.4546917398967622,3.5314121729994716,V019,on-time,2025-01-01,V019,0.17856066020593123,1456.0,False,14
ORD100004,2025-01-05 10:00:00,2025-01-05 12:54:18.400107427,hub_2,0.9617623598715284,0.7832195559419688,0.4988674856899345,0.3268338010573482,V028,on-time,2025-01-05,V028,0.013390187775502967,9709.0,False,10
ORD100005,2025-01-03 23:00:00,,hub_3,0.14126833442786335,0.284840182424432,-0.842350207543898,-0.9345079148474138,V100,cancelled,2025-01-03,V100,-0.6622892196531397,9211.0,True,23
ORD100006,2025-01-01 20:00:00,2025-01-01 23:31:39.574296055,hub_3,0.600566518149158,0.8155137631833895,0.2675774454168351,-0.8916094205545121,V060,on-time,2025-01-01,V060,0.8917026734777634,2460.0,False,20
ORD100007,2025-01-05 06:00:00,2025-01-05 10:32:36.971665638,hub_3,0.8115774610964266,0.5155204467070575,1.5665255795937816,-1.069975040124776,V093,on-time,2025-01-05,V093,0.9633306446028731,1198.0,False,6
ORD100008,2025-01-06 01:00:00,2025-01-06 05:43:17.817246433,hub_2,0.8230292183283083,0.6661539061361168,2.236083855531564,-0.6609667444136708,V057,on-time,2025-01-06,V057,1.118032713836552,3875.0,False,1
ORD100009,2025-01-04 02:00:00,2025-01-04 04:37:58.396282363,hub_3,0.4404347674265665,0.3696269684638196,0.13580139182003406,-1.4115456533783497,V021,late,2025-01-04,V021,-0.00468389933859225,9803.0,False,2
ORD100010,2025-01-04 15:00:00,2025-01-04 17:39:55.610781987,hub_2,0.22535539934383308,0.825874179105142,0.05744589390423528,0.39163794518323186,V089,on-time,2025-01-04,V089,-1.0184286672570018,1177.0,False,15
ORD100011,2025-01-05 20:00:00,2025-01-05 21:47:03.906423927,hub_3,0.38712501887501816,0.12315113597861682,-0.8645804614777346,-0.38776574002018394,V067,on-time,2025-01-05,V067,-1.3018385795856953,1198.0,False,20
ORD100012,2025-01-05 03:00:00,2025-01-05 06:14:30.656304700,hub_2,0.7511513827604546,0.1934382722932355,-1.4711176395145038,0.4157363706015673,V027,on-time,2025-01-05,V027,1.684914163732948,9709.0,False,3
ORD100013,2025-01-05 07:00:00,2025-01-05 09:19:57.171631414,hub_2,0.9937856181336358,0.08987339984662412,0.400850452244516,-0.34126183516527475,V004,on-time,2025-01-05,V004,0.21719825536439324,9709.0,False,7
ORD100014,2025-01-07 07:00:00,2025-01-07 08:26:22.074380998,hub_2,0.5542805368246562,0.9495940718865086,0.1217877933452212,-0.7228674751555617,V065,on-time,2025-01-07,V065,-0.7741365643055369,5104.0,False,7
ORD100015,2025-01-06 10:00:00,2025-01-06 14:00:54.768169771,hub_3,0.19510233749383588,0.46628495869890685,0.14761616827654667,-0.6663135237910186,V073,late,2025-01-06,V073,1.0868949984990124,3754.0,False,10
ORD100016,2025-01-07 05:00:00,2025-01-07 08:29:30.150819765,hub_3,0.041906980254474036,0.47748999705783035,0.6650124252065017,-0.16105035408024748,V071,on-time,2025-01-07,V071,-0.03246494955827034,8286.0,False,5
ORD100017,2025-01-03 04:00:00,2025-01-03 07:22:13.012569588,hub_1,0.9436956970126218,0.3014820321724301,0.2259698799586351,0.3958987856162151,V036,on-time,2025-01-03,V036,-1.0831706797391598,1008.0,False,4
ORD100018,2025-01-01 01:00:00,2025-01-01 04:48:50.408304609,hub_2,0.4830218727225528,0.4696994548638713,0.9347301271831928,-0.8484722319150421,V093,late,2025-01-01,V093,-0.10627907200796093,1456.0,False,1
ORD100019,2025-01-04 15:00:00,2025-01-04 17:41:38.491683219,hub_3,0.7165900528514015,0.23508468975268215,0.05749406732187494,-0.013401645157136368,V029,late,2025-01-04,V029,-1.1178630570307437,9803.0,False,15
ORD100020,2025-01-07 13:00:00,2025-01-07 15:42:28.338762553,hub_1,0.6601763148149828,0.9516543742847148,0.4367707526791501,-1.0307799557761534,V048,late,2025-01-07,V048,0.03807425844433776,9590.0,False,13
