origin_hub,order_date,inventory_units
Hub 1,2025-01-01,9957
Hub 2,2025-01-01,1456
Hub 3,2025-01-01,2460
Hub 1,2025-01-02,4031
Hub 2,2025-01-02,7294
Hub 3,2025-01-02,6169
Hub 1,2025-01-03,1008
Hub 2,2025-01-03,8701
Hub 3,2025-01-03,9211
Hub 1,2025-01-04,4321
Hub 2,2025-01-04,1177
Hub 3,2025-01-04,9803
Hub 1,2025-01-05,1142
Hub 2,2025-01-05,9709
Hub 3,2025-01-05,1198
Hub 1,2025-01-06,4562
Hub 2,2025-01-06,3875
Hub 3,2025-01-06,3754
Hub 1,2025-01-07,9590
Hub 2,2025-01-07,5104
Hub 3,2025-01-07,8286
Hub 1,2025-01-08,2616
Hub 2,2025-01-08,5493
Hub 3,2025-01-08,1641
Hub 1,2025-01-09,7161
Hub 2,2025-01-09,1700
Hub 3,2025-01-09,6457
Hub 1,2025-01-10,8165
Hub 2,2025-01-10,3130
Hub 3,2025-01-10,7203
Hub 1,2025-01-11,3077
Hub 2,2025-01-11,4974
Hub 3,2025-01-11,9650
Hub 1,2025-01-12,4513
Hub 2,2025-01-12,6247
Hub 3,2025-01-12,6058
Hub 1,2025-01-13,2543
Hub 2,2025-01-13,1939
Hub 3,2025-01-13,7241
Hub 1,2025-01-14,7685
Hub 2,2025-01-14,9722
Hub 3,2025-01-14,6619
Hub 1,2025-01-15,6878
Hub 2,2025-01-15,5721
Hub 3,2025-01-15,3194
Hub 1,2025-01-16,1141
Hub 2,2025-01-16,3102
Hub 3,2025-01-16,6043
Hub 1,2025-01-17,3492
Hub 2,2025-01-17,8426
Hub 3,2025-01-17,6284
Hub 1,2025-01-18,7688
Hub 2,2025-01-18,8849
Hub 3,2025-01-18,3649
Hub 1,2025-01-19,2520
Hub 2,2025-01-19,5294
Hub 3,2025-01-19,2531
Hub 1,2025-01-20,8135
Hub 2,2025-01-20,1155
Hub 3,2025-01-20,4642
Hub 1,2025-01-21,6299
Hub 2,2025-01-21,6246
Hub 3,2025-01-21,7404
Hub 1,2025-01-22,5177
Hub 2,2025-01-22,5612
Hub 3,2025-01-22,9198
Hub 1,2025-01-23,9956
Hub 2,2025-01-23,3748
Hub 3,2025-01-23,4338
Hub 1,2025-01-24,2721
Hub 2,2025-01-24,5110
Hub 3,2025-01-24,8614
Hub 1,2025-01-25,8267
Hub 2,2025-01-25,8021
Hub 3,2025-01-25,9752
Hub 1,2025-01-26,3457
Hub 2,2025-01-26,8820
Hub 3,2025-01-26,3249
Hub 1,2025-01-27,6275
Hub 2,2025-01-27,1901
Hub 3,2025-01-27,2884
Hub 1,2025-01-28,9088
Hub 2,2025-01-28,3686
Hub 3,2025-01-28,4747
Hub 1,2025-01-29,2455
Hub 2,2025-01-29,8222
Hub 3,2025-01-29,4419
Hub 1,2025-01-30,4461
Hub 2,2025-01-30,5096
Hub 3,2025-01-30,2030
Hub 1,2025-01-31,1623
Hub 2,2025-01-31,1934
Hub 3,2025-01-31,4793
